id,date,domainId,serviceId,environment,costAmount
cost-388,2025-06-11,clearwater-settlement,lambda,dev,28.74
cost-389,2025-06-11,clearwater-settlement,lambda,uat,55.78
cost-390,2025-06-11,clearwater-settlement,lambda,prod,200.55
cost-391,2025-06-11,clearwater-settlement,eks,dev,34.32
cost-392,2025-06-11,clearwater-settlement,eks,uat,57.34
cost-393,2025-06-11,clearwater-settlement,eks,prod,206.22
cost-394,2025-06-11,clearwater-settlement,cloudwatch,dev,10.48
cost-395,2025-06-11,clearwater-settlement,cloudwatch,uat,20.30
cost-396,2025-06-11,clearwater-settlement,cloudwatch,prod,85.89
cost-397,2025-06-11,clearwater-sales,ec2,dev,28.78
cost-398,2025-06-11,clearwater-sales,ec2,uat,59.28
cost-399,2025-06-11,clearwater-sales,ec2,prod,207.56
cost-400,2025-06-11,clearwater-sales,rds,dev,20.68
cost-401,2025-06-11,clearwater-sales,rds,uat,40.90
cost-402,2025-06-11,clearwater-sales,rds,prod,136.46
cost-403,2025-06-11,clearwater-sales,s3,dev,14.71
cost-404,2025-06-11,clearwater-sales,s3,uat,25.42
cost-405,2025-06-11,clearwater-sales,s3,prod,102.08
cost-406,2025-06-11,clearwater-sales,lambda,dev,33.34
cost-407,2025-06-11,clearwater-sales,lambda,uat,66.70
cost-408,2025-06-11,clearwater-sales,lambda,prod,245.48
cost-409,2025-06-11,clearwater-sales,eks,dev,10.35
cost-410,2025-06-11,clearwater-sales,eks,uat,24.01
cost-411,2025-06-11,clearwater-sales,eks,prod,81.57
cost-412,2025-06-11,clearwater-sales,cloudwatch,dev,10.02
cost-413,2025-06-11,clearwater-sales,cloudwatch,uat,21.44
cost-414,2025-06-11,clearwater-sales,cloudwatch,prod,69.14
cost-415,2025-06-11,clearwater-collateral,ec2,dev,12.64
cost-416,2025-06-11,clearwater-collateral,ec2,uat,29.35
cost-417,2025-06-11,clearwater-collateral,ec2,prod,98.25
cost-418,2025-06-11,clearwater-collateral,rds,dev,32.23
cost-419,2025-06-11,clearwater-collateral,rds,uat,55.93
cost-420,2025-06-11,clearwater-collateral,rds,prod,220.28
cost-421,2025-06-11,clearwater-collateral,s3,dev,28.43
cost-422,2025-06-11,clearwater-collateral,s3,uat,60.85
cost-423,2025-06-11,clearwater-collateral,s3,prod,175.31
cost-424,2025-06-11,clearwater-collateral,lambda,dev,8.02
cost-425,2025-06-11,clearwater-collateral,lambda,uat,12.82
cost-426,2025-06-11,clearwater-collateral,lambda,prod,49.70
cost-427,2025-06-11,clearwater-collateral,eks,dev,5.64
cost-428,2025-06-11,clearwater-collateral,eks,uat,13.62
cost-429,2025-06-11,clearwater-collateral,eks,prod,38.94
cost-430,2025-06-11,clearwater-collateral,cloudwatch,dev,4.44
cost-431,2025-06-11,clearwater-collateral,cloudwatch,uat,9.63
cost-432,2025-06-11,clearwater-collateral,cloudwatch,prod,29.83
cost-433,2025-06-12,clearwater-trade,ec2,dev,81.86
cost-434,2025-06-12,clearwater-trade,ec2,uat,155.45
cost-435,2025-06-12,clearwater-trade,ec2,prod,542.64
cost-436,2025-06-12,clearwater-trade,rds,dev,56.88
cost-437,2025-06-12,clearwater-trade,rds,uat,133.49
cost-438,2025-06-12,clearwater-trade,rds,prod,500.25
cost-439,2025-06-12,clearwater-trade,s3,dev,13.29
cost-440,2025-06-12,clearwater-trade,s3,uat,28.37
cost-441,2025-06-12,clearwater-trade,s3,prod,79.69
cost-442,2025-06-12,clearwater-trade,lambda,dev,23.76
cost-443,2025-06-12,clearwater-trade,lambda,uat,54.36
